INSERT INTO purchases (purchase_date, price, supplier_id, emp_id) VALUES
('2023-05-16', 5189301, 15, 30),
('2025-11-15', 6392581, 11, 21),
('2024-01-07', 4686037, 17, 22),
('2022-02-18', 2044482, 6, 26),
('2022-08-26', 9936295, 2, 28),
('2022-04-20', 1363150, 9, 6),
('2022-07-12', 2607924, 2, 25),
('2023-02-10', 7010168, 17, 28),
('2023-04-01', 7164248, 17, 18),
('2022-04-12', 1916688, 3, 25),
('2022-03-26', 1580227, 9, 21),
('2022-12-18', 9181506, 20, 21),
('2024-01-28', 4525609, 4, 15),
('2025-04-09', 6896418, 1, 7),
('2023-09-11', 517923, 9, 18),
('2024-06-25', 2004633, 17, 17),
('2023-05-14', 599314, 5, 28),
('2022-03-19', 8380837, 15, 6),
('2022-01-03', 9875673, 5, 15),
('2023-06-06', 1626728, 16, 23),
('2022-12-28', 2340829, 4, 2),
('2022-06-24', 6367284, 18, 24),
('2023-09-10', 8865324, 2, 8),
('2025-05-07', 1781947, 13, 24),
('2025-05-20', 8412985, 5, 17),
('2023-06-17', 7970457, 19, 25),
('2023-04-25', 5078719, 6, 18),
('2025-08-15', 7494021, 18, 20),
('2025-04-17', 5761782, 18, 23),
('2025-12-22', 3188482, 16, 11),
('2024-11-13', 4655391, 14, 16),
('2025-02-24', 6663293, 10, 19),
('2024-02-13', 8578924, 6, 22),
('2025-08-31', 7021863, 16, 3),
('2025-09-27', 2796232, 16, 21),
('2022-02-14', 3996419, 3, 20),
('2025-07-06', 1488766, 18, 15),
('2023-07-15', 3733494, 17, 2),
('2022-08-13', 2434629, 18, 7),
('2025-08-22', 2639189, 7, 23),
('2022-07-30', 3920699, 20, 11),
('2024-11-03', 4484321, 7, 8),
('2025-03-07', 1950562, 4, 3),
('2022-04-13', 4624124, 7, 8),
('2025-08-12', 7331881, 16, 7),
('2025-09-01', 4058094, 18, 22),
('2022-08-03', 5325080, 2, 16),
('2022-02-07', 1833696, 14, 22),
('2024-01-06', 924400, 17, 3),
('2022-05-05', 8058545, 16, 9),
('2022-09-10', 1177687, 13, 26),
('2024-08-06', 5329515, 11, 11),
('2025-04-08', 3354544, 15, 21),
('2024-11-04', 3689552, 15, 19),
('2023-06-06', 1625616, 8, 21),
('2024-10-09', 7138054, 17, 13),
('2025-07-02', 3359968, 9, 28),
('2025-01-08', 5547770, 5, 25),
('2022-04-28', 2355845, 18, 21),
('2025-04-24', 5036705, 9, 20),
('2024-12-05', 9231050, 6, 15),
('2025-02-22', 2971038, 7, 30),
('2023-04-08', 7866253, 9, 27),
('2025-08-12', 3864323, 14, 1),
('2024-01-24', 7504241, 16, 14),
('2024-06-05', 3330327, 15, 14),
('2025-05-03', 4695573, 8, 17),
('2023-03-29', 6852495, 5, 5),
('2024-03-19', 8421113, 9, 13),
('2024-11-21', 2101383, 8, 10),
('2022-08-07', 7805117, 18, 10),
('2023-12-30', 2230738, 4, 9),
('2022-03-13', 841528, 7, 18),
('2024-01-03', 2742859, 10, 9),
('2024-05-21', 8669863, 17, 30),
('2022-03-30', 2889661, 9, 15),
('2023-02-18', 7336144, 5, 25),
('2023-06-08', 6172753, 14, 17),
('2024-09-08', 7280722, 2, 19),
('2023-07-13', 4691252, 19, 9),
('2023-04-12', 4098552, 13, 30),
('2025-11-12', 2514892, 8, 22),
('2023-09-21', 7973893, 2, 28),
('2025-02-22', 5022183, 6, 13),
('2024-06-15', 1104260, 14, 26),
('2022-08-26', 8576507, 19, 13),
('2024-09-29', 1458197, 7, 17),
('2023-02-10', 7410054, 20, 23),
('2022-01-08', 8937182, 15, 17),
('2023-03-17', 4365343, 1, 25),
('2024-11-10', 2010358, 15, 2),
('2024-10-26', 6424792, 20, 5),
('2024-02-26', 9868202, 18, 13),
('2022-09-08', 7999443, 20, 16),
('2025-04-22', 8346468, 18, 2),
('2025-05-23', 4392417, 6, 27),
('2024-01-07', 4285163, 11, 4),
('2025-03-07', 8588609, 11, 12),
('2025-08-12', 720054, 3, 28),
('2025-05-22', 9945485, 17, 28),
('2025-08-27', 5849440, 8, 16),
('2023-08-19', 3051972, 14, 21),
('2022-04-02', 7869369, 18, 29),
('2025-04-06', 6156933, 9, 25),
('2023-01-25', 7628926, 14, 15),
('2022-07-06', 5912490, 16, 19),
('2022-08-05', 7088485, 18, 27),
('2025-07-16', 3375213, 1, 4),
('2022-10-04', 796683, 17, 15),
('2023-10-21', 9981360, 10, 19),
('2024-04-21', 9231031, 6, 21),
('2022-10-15', 3287716, 19, 29),
('2023-05-15', 1607882, 15, 29),
('2023-01-08', 2258018, 8, 5),
('2024-05-26', 9840381, 5, 28),
('2022-07-30', 902603, 1, 7),
('2022-07-16', 2196453, 8, 28),
('2024-05-28', 5748219, 9, 13),
('2025-05-07', 5636460, 12, 1),
('2024-02-03', 8073089, 10, 6),
('2022-11-12', 9842180, 7, 11),
('2024-04-24', 6823394, 11, 6),
('2022-11-27', 2769571, 6, 29),
('2022-01-22', 5864836, 16, 9),
('2022-08-23', 5256373, 19, 10),
('2024-03-30', 7308767, 2, 24),
('2022-09-10', 4357269, 1, 5),
('2023-04-17', 9003979, 2, 1),
('2025-01-22', 7796231, 19, 1),
('2024-12-11', 770899, 7, 7),
('2023-01-02', 1117438, 13, 19),
('2022-01-18', 4646527, 13, 4),
('2024-11-12', 3491271, 19, 25),
('2022-12-26', 9704620, 2, 8),
('2023-07-25', 2050713, 14, 6),
('2022-06-13', 7930073, 1, 19),
('2024-07-09', 4532354, 15, 25),
('2023-12-05', 6764761, 12, 14),
('2025-06-29', 1024474, 20, 28),
('2022-05-13', 8922350, 4, 15),
('2025-11-13', 7385150, 2, 11),
('2024-03-29', 4499874, 10, 6),
('2025-12-05', 5342911, 15, 10),
('2024-05-14', 7214714, 4, 11),
('2022-01-22', 4084820, 14, 12),
('2024-03-02', 7968500, 8, 24),
('2023-07-06', 1197049, 6, 30),
('2022-12-21', 9952383, 14, 22),
('2023-12-05', 1060259, 6, 6),
('2023-11-20', 7918687, 11, 21),
('2024-10-12', 5657514, 11, 3),
('2025-07-24', 6665660, 7, 13),
('2025-07-26', 4814032, 5, 7),
('2023-04-04', 2531968, 11, 12),
('2024-05-19', 8988521, 19, 18),
('2023-08-06', 4924031, 16, 16),
('2024-10-01', 2135048, 10, 18),
('2023-04-01', 8917309, 7, 12),
('2025-05-09', 9865924, 11, 4),
('2024-01-06', 5473886, 6, 18),
('2023-09-27', 8597783, 3, 11),
('2025-06-12', 794853, 11, 28),
('2024-10-24', 1233354, 8, 30),
('2025-09-06', 1850124, 20, 29),
('2025-12-08', 6840261, 19, 30),
('2022-10-24', 634671, 8, 10),
('2022-11-30', 2076991, 1, 14),
('2024-11-03', 7154002, 1, 24),
('2022-05-23', 7874376, 13, 7),
('2025-10-26', 6006454, 10, 14),
('2023-03-20', 7554297, 6, 27),
('2024-07-29', 1164549, 11, 28),
('2022-07-13', 7353394, 12, 11),
('2022-03-19', 5858205, 13, 19),
('2024-09-25', 1636837, 6, 26),
('2023-02-01', 4687512, 20, 9),
('2025-05-13', 1227528, 14, 9),
('2022-08-25', 3238209, 20, 7),
('2025-06-02', 6672931, 3, 23),
('2022-04-17', 6549766, 8, 30),
('2022-04-08', 1346342, 3, 24),
('2022-03-06', 7991236, 8, 21),
('2022-12-27', 525274, 13, 14),
('2023-09-05', 4474649, 9, 23),
('2025-04-12', 2357706, 17, 4),
('2024-07-20', 4163922, 5, 21),
('2022-03-24', 2544270, 14, 11),
('2022-04-11', 7875880, 3, 14),
('2024-07-23', 1465997, 1, 23),
('2024-03-24', 2856261, 20, 10),
('2023-11-03', 1239286, 17, 9),
('2022-10-02', 5266603, 16, 11),
('2022-11-06', 5070853, 20, 2),
('2025-01-24', 6515989, 19, 6),
('2022-06-16', 9268996, 14, 26),
('2024-10-31', 2223087, 11, 1),
('2023-11-05', 7639555, 15, 10),
('2025-04-03', 2528803, 18, 14),
('2025-09-29', 9832941, 14, 25),
('2022-06-11', 3834468, 20, 21),
('2024-04-27', 5439107, 15, 7),
('2023-03-21', 736066, 16, 25),
('2025-11-22', 9256407, 20, 20),
('2025-05-19', 722672, 2, 3),
('2025-04-01', 9847279, 1, 24),
('2023-04-12', 2861645, 14, 5),
('2023-01-19', 7865254, 8, 2),
('2023-12-15', 7863842, 4, 29),
('2024-04-25', 7263929, 15, 9),
('2025-09-24', 572701, 19, 14),
('2025-11-27', 2677547, 1, 5),
('2025-11-17', 7701050, 19, 24),
('2024-08-30', 1843225, 5, 8),
('2023-01-05', 9222903, 7, 21),
('2025-04-30', 5307624, 19, 7),
('2022-12-01', 8210579, 18, 1),
('2023-06-28', 5013671, 6, 19),
('2023-04-01', 3432128, 17, 25),
('2024-11-29', 8120494, 14, 6),
('2024-06-23', 2155557, 8, 7),
('2023-02-04', 5898044, 20, 25),
('2024-10-06', 6440572, 14, 19),
('2023-03-29', 4556394, 16, 18),
('2023-08-27', 6073320, 20, 28),
('2024-11-05', 6848367, 11, 11),
('2025-02-24', 8239612, 19, 15),
('2025-03-01', 5795782, 8, 19),
('2025-01-18', 1910010, 12, 16),
('2025-10-24', 1776504, 14, 30),
('2022-11-12', 5235038, 12, 1),
('2025-12-29', 2440284, 3, 5),
('2022-09-22', 5850767, 1, 19),
('2023-05-24', 1965996, 6, 24),
('2025-03-27', 2812292, 3, 1),
('2025-04-23', 4474374, 13, 24),
('2022-06-12', 4970899, 1, 20),
('2023-04-18', 5385733, 11, 9),
('2024-12-23', 9740740, 19, 1),
('2022-06-07', 9119371, 6, 5),
('2024-05-29', 6620461, 8, 22),
('2023-02-06', 2136658, 13, 24),
('2024-11-01', 5011501, 17, 28),
('2022-11-01', 4193456, 2, 13),
('2022-11-06', 9303956, 10, 24),
('2022-05-03', 2896754, 10, 8),
('2024-03-12', 1239702, 1, 7),
('2025-02-07', 5511254, 11, 16),
('2025-03-26', 8082821, 15, 29),
('2025-07-14', 3165389, 11, 27),
('2025-12-30', 6546058, 20, 1),
('2022-05-30', 4260906, 19, 20),
('2022-01-13', 9130559, 7, 27),
('2023-03-22', 3230393, 9, 20),
('2023-12-29', 3436495, 19, 8),
('2022-11-16', 9826843, 13, 23),
('2023-07-05', 5549214, 15, 29),
('2022-10-08', 8673623, 7, 19),
('2024-02-28', 732897, 17, 5),
('2024-05-18', 9068639, 9, 11),
('2024-03-28', 5667622, 17, 5),
('2022-09-21', 9912876, 18, 27),
('2025-09-09', 1170665, 4, 11),
('2023-08-21', 4074550, 11, 29),
('2023-04-16', 6310104, 4, 14),
('2025-06-12', 5548505, 11, 28),
('2024-01-08', 8777318, 18, 10),
('2023-12-28', 3139320, 17, 5),
('2023-02-18', 5901616, 15, 10),
('2024-11-07', 8865805, 15, 1),
('2023-11-14', 7492357, 14, 15),
('2023-07-29', 9114486, 4, 24),
('2024-05-21', 2328935, 3, 1),
('2025-10-24', 888626, 3, 29),
('2022-11-22', 3103367, 6, 6),
('2023-04-08', 2193282, 18, 11),
('2024-12-11', 1032731, 11, 18),
('2025-02-20', 2093482, 16, 3),
('2022-04-18', 7035957, 13, 6),
('2025-01-19', 5214184, 15, 22),
('2022-05-21', 8627556, 15, 30),
('2023-06-24', 3752881, 8, 20),
('2022-02-28', 1734062, 12, 19),
('2023-12-04', 4895002, 19, 17),
('2024-10-01', 9239213, 8, 14),
('2024-07-04', 1279593, 8, 18),
('2022-04-16', 7488606, 9, 22),
('2022-10-31', 3005194, 15, 10),
('2023-06-28', 2617137, 20, 27),
('2022-09-09', 6651454, 2, 27),
('2024-06-17', 3625844, 2, 9),
('2024-05-08', 5171347, 7, 29),
('2022-04-24', 2153206, 16, 25),
('2022-05-23', 1021089, 3, 28),
('2023-03-12', 6867440, 9, 22),
('2023-06-04', 1898934, 18, 8),
('2023-12-01', 1432992, 6, 23),
('2022-07-29', 8000420, 5, 9),
('2022-06-01', 2046114, 5, 30),
('2025-05-09', 9787146, 18, 24),
('2025-04-14', 4915842, 10, 15),
('2024-11-16', 6724312, 14, 21),
('2025-05-01', 6316859, 11, 11),
('2024-05-17', 603617, 4, 9),
('2025-01-20', 5635710, 18, 12),
('2024-04-30', 3296149, 13, 14),
('2024-04-16', 1984677, 2, 30),
('2023-01-09', 677489, 16, 21),
('2023-10-29', 2610699, 9, 23),
('2022-12-31', 5254026, 3, 2),
('2024-06-10', 6052582, 11, 24),
('2023-03-21', 7079949, 9, 21),
('2022-02-28', 2135958, 7, 22),
('2024-05-11', 4538552, 8, 20),
('2022-12-23', 4005754, 15, 10),
('2023-12-14', 5041668, 12, 20),
('2022-07-07', 2558636, 2, 7),
('2025-10-13', 6929903, 17, 25),
('2024-07-10', 635660, 17, 24),
('2024-03-26', 6610603, 5, 6),
('2025-12-12', 3758674, 20, 7),
('2023-04-14', 8140492, 4, 28),
('2023-05-19', 6099231, 8, 11),
('2023-03-23', 3599823, 4, 24),
('2024-06-25', 7939831, 20, 12),
('2024-01-20', 3524994, 19, 29),
('2023-12-17', 7968945, 18, 10),
('2025-08-20', 5471043, 1, 10),
('2023-10-07', 8253244, 3, 19),
('2023-10-04', 2453544, 13, 16),
('2024-11-09', 4692036, 4, 15),
('2023-10-08', 7388065, 19, 15),
('2024-08-15', 4303237, 19, 2),
('2025-04-10', 7256890, 10, 1),
('2024-02-12', 4910590, 6, 4),
('2023-12-19', 4791865, 1, 5),
('2024-02-14', 6777602, 12, 15),
('2023-10-07', 6485754, 7, 2),
('2023-05-29', 2583881, 9, 30),
('2025-08-13', 1137440, 7, 7),
('2022-11-24', 9448235, 5, 3),
('2023-09-24', 4656538, 1, 18),
('2023-04-23', 786736, 6, 4),
('2022-08-23', 6452871, 14, 2),
('2025-12-03', 9178401, 20, 10),
('2024-01-20', 8463937, 1, 30),
('2023-08-26', 6155719, 3, 13),
('2024-01-27', 1728771, 3, 8),
('2024-02-10', 2149795, 10, 10),
('2025-08-20', 7586240, 20, 23),
('2025-12-28', 5398868, 20, 18),
('2025-08-13', 1229726, 20, 25),
('2022-10-10', 4817747, 14, 27),
('2024-05-04', 3330134, 13, 10),
('2024-10-02', 7606347, 19, 22),
('2024-05-28', 6485368, 17, 17),
('2023-02-16', 9588756, 5, 27),
('2025-02-28', 9533834, 9, 24),
('2024-02-11', 1252759, 7, 12),
('2024-11-07', 7859038, 3, 2),
('2025-03-06', 1629926, 7, 18),
('2024-04-12', 6514904, 8, 30),
('2022-02-08', 6249491, 18, 10),
('2025-08-02', 688185, 8, 26),
('2025-10-07', 1690866, 4, 22),
('2023-12-28', 9555107, 9, 20),
('2024-03-13', 1434935, 11, 25),
('2023-06-10', 2777583, 14, 24),
('2023-05-22', 6756449, 14, 8),
('2025-01-12', 6505378, 5, 25),
('2022-04-22', 8212724, 1, 22),
('2024-11-21', 8385933, 7, 4),
('2022-09-05', 1865416, 19, 26),
('2025-05-29', 9459581, 6, 6),
('2024-03-04', 5152887, 13, 20),
('2024-11-27', 3485748, 6, 22),
('2024-03-06', 3032001, 14, 29),
('2023-09-25', 3789834, 10, 16),
('2022-03-15', 8333726, 14, 20),
('2025-12-09', 3491317, 6, 12),
('2025-10-20', 2580699, 10, 21),
('2023-08-19', 7403431, 9, 28),
('2024-05-12', 8117975, 17, 21),
('2024-08-14', 2709449, 2, 7),
('2022-08-01', 9015207, 5, 20),
('2022-08-03', 4582902, 12, 24),
('2024-11-13', 3493951, 17, 27),
('2023-04-21', 4593257, 11, 18),
('2022-07-07', 533240, 8, 2),
('2024-02-26', 5155020, 19, 11),
('2025-08-02', 6367344, 5, 16),
('2025-10-08', 4021769, 20, 18),
('2025-08-13', 6387611, 12, 6),
('2023-02-22', 6660736, 3, 3),
('2022-04-06', 1165640, 16, 19),
('2022-02-06', 9773258, 7, 7),
('2024-10-07', 2357476, 2, 10),
('2024-03-27', 4259079, 18, 15),
('2024-07-19', 3444255, 18, 27),
('2022-11-03', 2898446, 12, 18),
('2025-01-10', 5824169, 17, 2),
('2025-05-17', 2167852, 3, 5),
('2024-08-08', 7875999, 6, 14),
('2023-06-02', 6304920, 20, 29),
('2022-05-21', 8416224, 12, 16),
('2023-07-07', 1139124, 12, 2),
('2024-04-18', 1256684, 1, 26),
('2023-12-14', 1753747, 9, 11),
('2022-06-07', 9800864, 11, 25),
('2023-07-25', 506040, 20, 21),
('2024-09-18', 8069951, 9, 19),
('2023-04-07', 7019743, 20, 2),
('2024-04-07', 9746722, 1, 9),
('2025-04-06', 1703351, 18, 17),
('2023-01-07', 736985, 10, 29),
('2025-07-14', 6904281, 8, 21),
('2024-06-10', 4873158, 9, 15),
('2023-08-13', 4078854, 7, 25),
('2023-10-28', 2140236, 19, 5),
('2022-09-23', 2189164, 17, 9),
('2024-09-03', 3072040, 17, 18),
('2023-07-03', 5321317, 6, 18),
('2022-03-15', 8726473, 18, 8),
('2025-12-25', 4675289, 6, 18),
('2023-10-06', 1523343, 8, 21),
('2022-10-06', 9471249, 4, 17),
('2023-05-11', 3009041, 9, 18),
('2022-04-03', 683535, 15, 10),
('2023-08-02', 8726628, 5, 28),
('2023-06-29', 3492741, 3, 26),
('2022-03-11', 749728, 1, 30),
('2023-05-31', 2106312, 4, 26),
('2023-10-16', 1590974, 14, 26),
('2025-01-08', 1864416, 18, 13),
('2023-10-12', 8951850, 15, 4),
('2022-04-06', 9563494, 1, 16),
('2023-07-12', 3556078, 14, 29),
('2024-12-16', 2705406, 3, 17),
('2022-02-18', 4917887, 11, 30),
('2022-06-03', 739048, 17, 2),
('2025-03-24', 8664251, 10, 19),
('2023-07-11', 6566530, 16, 13),
('2024-08-18', 5118515, 11, 24),
('2023-06-12', 6593746, 4, 25),
('2025-08-31', 3759608, 10, 3),
('2024-12-12', 3742793, 19, 2),
('2025-05-23', 5272450, 15, 11),
('2022-06-13', 9699709, 8, 25),
('2023-05-18', 6929585, 2, 25),
('2022-04-03', 3701735, 7, 1),
('2025-02-10', 1177284, 1, 9),
('2025-10-23', 2393853, 13, 10),
('2023-06-05', 4402452, 16, 28),
('2022-07-25', 9486808, 17, 10),
('2022-12-22', 5893110, 18, 21),
('2024-11-21', 2836811, 2, 19),
('2023-08-16', 8579124, 6, 7),
('2025-10-06', 2521131, 11, 20),
('2022-03-04', 4550439, 6, 4),
('2023-02-04', 4792360, 19, 1),
('2025-04-27', 7464127, 10, 27),
('2024-05-24', 8306562, 5, 15),
('2024-07-18', 9306849, 5, 26),
('2022-06-07', 538602, 6, 14),
('2023-08-17', 1838448, 16, 1),
('2025-07-01', 872926, 8, 28),
('2024-05-21', 9528687, 13, 11),
('2023-01-05', 990890, 7, 26),
('2022-01-17', 6790086, 7, 26),
('2022-02-21', 3423273, 9, 23),
('2024-03-31', 3991056, 4, 27),
('2025-12-10', 5161248, 2, 9),
('2025-08-30', 8687190, 16, 7),
('2025-08-12', 8313619, 15, 26),
('2024-12-27', 4946459, 14, 18),
('2024-02-27', 6695385, 19, 24),
('2025-05-23', 539005, 5, 15),
('2025-10-26', 3292715, 14, 6),
('2022-05-11', 3947474, 19, 27),
('2022-09-02', 7788878, 18, 27),
('2025-10-04', 7733446, 18, 14),
('2025-09-12', 3655742, 20, 14),
('2025-12-01', 8384096, 14, 15),
('2024-10-06', 7720634, 10, 13),
('2023-07-26', 5017274, 8, 26),
('2025-07-20', 3860425, 9, 20),
('2024-09-07', 4159144, 3, 21),
('2025-09-06', 7083413, 15, 16),
('2022-08-20', 5087001, 9, 28),
('2022-02-22', 681527, 3, 28),
('2023-03-14', 7372565, 9, 2),
('2023-10-11', 3007915, 13, 11),
('2024-06-21', 2274366, 8, 1),
('2024-10-02', 8946508, 12, 6),
('2025-08-02', 3266828, 13, 27),
('2022-08-01', 973186, 10, 16),
('2025-06-05', 4976107, 10, 4),
('2025-10-16', 3114594, 19, 25),
('2022-10-19', 7800904, 15, 29),
('2025-08-22', 5672348, 8, 14),
('2022-08-22', 3118536, 7, 22),
('2023-09-10', 2947374, 17, 13),
('2024-02-10', 1369879, 2, 22),
('2023-04-26', 8283872, 18, 26),
('2022-01-11', 9187423, 11, 19),
('2024-11-23', 7645175, 1, 3),
('2023-09-18', 6614842, 18, 30),
('2024-11-13', 2681457, 15, 27),
('2023-01-12', 9087268, 3, 6),
('2023-03-01', 2874100, 16, 29),
('2024-11-30', 6274789, 18, 9),
('2023-01-27', 7439153, 10, 24),
('2023-01-15', 4734941, 6, 19),
('2023-02-06', 7534259, 10, 7),
('2023-01-24', 4805526, 12, 20),
('2024-06-29', 1961312, 15, 16),
('2025-10-24', 9807256, 19, 15),
('2024-12-01', 8042802, 4, 15),
('2023-09-08', 2003592, 5, 15),
('2025-08-21', 6940437, 2, 6),
('2024-09-21', 1524514, 13, 27),
('2025-08-26', 1474712, 1, 13),
('2023-12-18', 3598744, 17, 26),
('2025-03-23', 4499239, 11, 16),
('2024-01-10', 3333777, 2, 10),
('2022-10-22', 4103718, 20, 24),
('2022-01-19', 9158470, 8, 18),
('2023-09-10', 5925434, 7, 24),
('2025-01-18', 1592215, 10, 19),
('2022-11-29', 9644383, 13, 2),
('2025-06-24', 3969371, 3, 24),
('2025-02-07', 6540579, 8, 25),
('2024-08-23', 5797679, 4, 18),
('2024-06-06', 2045022, 3, 29),
('2023-04-28', 1890122, 19, 24),
('2025-09-24', 4168271, 12, 30),
('2025-05-10', 4386535, 3, 28),
('2022-08-02', 6933739, 14, 22),
('2022-06-22', 3801839, 8, 23),
('2024-08-17', 3824116, 18, 12),
('2025-01-05', 8030015, 18, 27),
('2025-08-23', 4791228, 19, 23),
('2025-01-01', 9630443, 12, 29),
('2024-03-24', 1890664, 12, 10),
('2024-06-27', 8642949, 11, 20),
('2024-10-19', 2745914, 13, 4),
('2025-09-02', 5249033, 2, 21),
('2022-07-03', 3476956, 15, 22),
('2024-05-30', 2683212, 2, 1),
('2025-08-25', 4963393, 5, 22),
('2024-05-14', 4390745, 13, 9),
('2023-02-14', 5521866, 17, 2),
('2023-03-19', 1071196, 15, 25),
('2025-12-16', 7901885, 6, 2),
('2025-07-29', 5176185, 1, 1),
('2022-06-28', 7108046, 17, 11),
('2024-08-31', 4702520, 13, 23),
('2025-07-01', 5299722, 7, 20),
('2023-05-25', 1029560, 5, 14),
('2024-11-11', 9442408, 18, 15),
('2024-03-28', 3142552, 11, 12),
('2022-06-07', 9102332, 20, 4),
('2025-10-30', 6639184, 18, 8),
('2023-09-22', 8510007, 10, 25),
('2023-08-02', 6771774, 1, 26),
('2023-08-09', 9244022, 3, 14),
('2025-07-11', 6334813, 14, 18),
('2022-10-31', 4301600, 15, 8),
('2025-08-01', 4260864, 10, 28),
('2022-04-17', 9600018, 7, 15),
('2025-05-31', 5531718, 12, 14),
('2024-10-15', 8691992, 6, 12),
('2025-03-28', 4368494, 16, 20),
('2025-08-27', 8042614, 17, 4),
('2024-01-01', 1185078, 7, 23),
('2025-09-30', 7773820, 8, 23),
('2022-10-27', 620150, 2, 3),
('2022-10-03', 1180522, 6, 1),
('2024-03-02', 3670866, 10, 12),
('2025-03-05', 601076, 18, 17),
('2023-12-07', 6557900, 6, 3),
('2023-01-24', 2433242, 17, 14),
('2022-12-20', 6162313, 9, 21),
('2023-07-30', 8477243, 9, 29),
('2022-06-09', 3871584, 2, 8),
('2022-07-11', 8388082, 19, 26),
('2022-11-13', 4346437, 1, 29),
('2022-01-04', 9850381, 5, 30),
('2025-11-02', 1840875, 7, 20),
('2024-05-29', 7547534, 12, 21),
('2025-02-17', 6077080, 9, 28),
('2023-06-21', 3136601, 6, 17),
('2024-10-03', 8271866, 6, 25),
('2023-04-12', 7238054, 16, 23),
('2022-12-09', 8494470, 14, 17),
('2022-01-22', 2743425, 15, 29),
('2024-05-01', 1384004, 4, 13),
('2022-04-18', 1010954, 4, 6),
('2023-02-11', 1110894, 18, 20),
('2023-08-09', 1664552, 7, 6),
('2025-12-06', 9561254, 7, 23),
('2024-01-29', 8735880, 19, 21),
('2024-07-23', 5847081, 6, 3),
('2024-03-06', 8682393, 16, 25),
('2023-04-30', 4236188, 12, 22),
('2024-07-06', 4203427, 9, 16),
('2023-02-17', 9561142, 10, 19),
('2025-03-15', 1677763, 1, 21),
('2022-01-30', 1258269, 16, 27),
('2025-11-07', 7028590, 10, 3),
('2024-06-25', 9062999, 6, 4),
('2023-02-10', 2660567, 10, 19),
('2025-07-26', 1338797, 17, 2),
('2025-01-25', 6008748, 6, 24),
('2023-12-04', 6035657, 3, 13),
('2022-07-22', 3486860, 2, 27),
('2025-03-24', 5328922, 2, 18),
('2024-10-28', 9066399, 15, 30),
('2022-02-06', 3759631, 20, 11),
('2022-03-16', 6877528, 7, 27),
('2025-06-11', 9978925, 1, 10),
